2019-12-19 19:34:13 INFO  RestAPITestinForEmployeeDB:78 - --------- validating content length
2019-12-19 19:34:13 INFO  RestAPITestinForEmployeeDB:46 - --------- getting response ----------
2019-12-19 19:35:07 INFO  RestAPITestinForEmployeeDB:37 - #####-------- TC002_GetSingleEmployeeData starts --------######
2019-12-19 19:35:08 INFO  RestAPITestinForEmployeeDB:46 - --------- getting response ----------
2019-12-19 19:35:11 INFO  RestAPITestinForEmployeeDB:48 - Response is :-->>> 
{"id":"207587","employee_name":"","employee_salary":"0","employee_age":"0","profile_image":""}
2019-12-19 19:35:11 INFO  RestAPITestinForEmployeeDB:86 - #####------- TC002_GetSingleEmployeeData ends ------#######
2019-12-19 19:36:13 INFO  RestAPITestinForEmployeeDB:37 - #####-------- TC002_GetSingleEmployeeData starts --------######
2019-12-19 19:36:14 INFO  RestAPITestinForEmployeeDB:46 - --------- getting response ----------
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:48 - Response is :-->>> 
{"id":"207587","employee_name":"","employee_salary":"0","employee_age":"0","profile_image":""}
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:78 - --------- validating content length
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:70 - --------- checking content type ------------
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:72 - Content Type :--->>>> text/html; charset=UTF-8
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:53 - ------- Checking response body --------
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:61 - -------- checking status line and status code -------
2019-12-19 19:36:18 INFO  RestAPITestinForEmployeeDB:86 - #####------- TC002_GetSingleEmployeeData ends ------#######
2019-12-19 20:09:00 INFO  RestAPITestinForEmployeeDB:31 - ####--------- TC003_PostEmployeeRecord starts -------######
2019-12-19 20:09:06 INFO  RestAPITestinForEmployeeDB:58 - Response is :-->>> io.restassured.internal.RestAssuredResponseImpl@3f0ab7c0
2019-12-19 20:09:06 INFO  RestAPITestinForEmployeeDB:64 - ------ validating response body --------
2019-12-19 20:09:06 INFO  RestAPITestinForEmployeeDB:72 - Response id, name,age & Salary :--->>> 211366AgasthyapPm, 55, 524340, 
2019-12-19 20:09:06 INFO  RestAPITestinForEmployeeDB:84 - ####--------- TC003_PostEmployeeRecord ends -------######
2019-12-19 20:20:46 INFO  RestAPITestinForEmployeeDB:31 - ####--------- TC003_PostEmployeeRecord starts -------######
2019-12-19 20:20:50 INFO  RestAPITestinForEmployeeDB:58 - Response is :-->>> io.restassured.internal.RestAssuredResponseImpl@f1917cf
2019-12-19 20:20:50 INFO  RestAPITestinForEmployeeDB:64 - ------ validating response body --------
2019-12-19 20:20:50 INFO  RestAPITestinForEmployeeDB:72 - Response id, name,age & Salary :--->>> 211536, AgasthyaHpA, 15, 184470, 
2019-12-19 20:20:50 INFO  RestAPITestinForEmployeeDB:84 - ####--------- TC003_PostEmployeeRecord ends -------######
2019-12-19 23:19:33 INFO  RestAPITestinForEmployeeDB:40 - ####------- TC004_PutEmployeeData starts -----------#####
2019-12-19 23:19:33 INFO  RestAPITestinForEmployeeDB:54 - --------- updating employee record ---------------
2019-12-19 23:19:34 INFO  RestAPITestinForEmployeeDB:117 - #####---------- TC004_PutEmployeeData ends ----------######
2019-12-19 23:26:02 INFO  RestAPITestinForEmployeeDB:40 - ####------- TC004_PutEmployeeData starts -----------#####
2019-12-19 23:26:03 INFO  RestAPITestinForEmployeeDB:54 - --------- updating employee record ---------------
2019-12-19 23:26:17 INFO  RestAPITestinForEmployeeDB:68 - Response body is :--->>> 
{"age":"90","name":"AgasthyaDEq","salary":"962808"}
2019-12-19 23:26:17 INFO  RestAPITestinForEmployeeDB:90 - --------- validating content type ---------------
2019-12-19 23:26:17 INFO  RestAPITestinForEmployeeDB:93 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-19 23:26:17 INFO  RestAPITestinForEmployeeDB:73 - --------- validating response body ---------------
2019-12-19 23:26:18 INFO  RestAPITestinForEmployeeDB:82 - Response name,age,salary & id is -->>>> AgasthyaDEq, 90, 962808, null
2019-12-19 23:26:18 INFO  RestAPITestinForEmployeeDB:110 - --------- validating server type --------
2019-12-19 23:26:18 INFO  RestAPITestinForEmployeeDB:101 - --------- validating Status line and status code ---------------
2019-12-19 23:26:18 INFO  RestAPITestinForEmployeeDB:117 - #####---------- TC004_PutEmployeeData ends ----------######
2019-12-19 23:42:16 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-19 23:42:16 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:46 - --------- validating content type ---------------
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:49 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:66 - --------- validating server type --------
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:57 - --------- validating Status line and status code ---------------
2019-12-19 23:42:25 INFO  RestAPITestinForEmployeeDB:74 - #####------------- TC005_DeleteEmployeeRecord ends ----------######
2019-12-19 23:55:33 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-19 23:55:34 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:72 - --------- validating content type ---------------
